domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
oops.co.in, 4, 13620499 (12.99MB), 385951632 (368.07MB), 41, 13620499, 0, 0, 0, 0
  info, 0, 96487908 (92.02MB), 0, 0, 0, 0, 0, 0
  support, 0, 96487908 (92.02MB), 0, 0, 0, 0, 0, 0
  karthik, 13620499 (12.99MB), 96487908 (92.02MB), 41, 13620499, 0, 0, 0, 0
  isee, 0, 96487908 (92.02MB), 0, 0, 0, 0, 0, 0
charirrfc.in, 1, 66618801 (63.53MB), 730692086 (696.84MB), 66, 66618801, 0, 0, 0, 0
  kvchari, 66618801 (63.53MB), 730692086 (696.84MB), 66, 66618801, 0, 0, 0, 0
giftville.in, 4, 84339813 (80.43MB), 332101309 (316.72MB), 755, 82326878, 34, 2012935, 0, 0
  ops, 0, 16387 (16.00KB), 0, 0, 0, 0, 0, 0
  kvchari, 0, 33418380 (31.87MB), 0, 0, 0, 0, 0, 0
  sales, 0, 7150588 (6.82MB), 0, 0, 0, 0, 0, 0
  nithu1, 84339813 (80.43MB), 291515954 (278.01MB), 755, 82326878, 34, 2012935, 0, 0
kandhadai.com, 2, 1412806 (1.35MB), 62653160 (59.75MB), 7, 1412806, 0, 0, 0, 0
  kvchari, 1412806 (1.35MB), 62636776 (59.74MB), 7, 1412806, 0, 0, 0, 0
  ravichari1, 0, 16384 (16.00KB), 0, 0, 0, 0, 0, 0
vtechsystems.com, 7, 362192306 (345.41MB), 4103347510 (3.82GB), 4863, 243051349, 33, 25320050, 3576, 93820907
  ramani, 43463876 (41.45MB), 1457290680 (1.36GB), 972, 43463876, 0, 0, 0, 0
  postmaster, 0, 26131 (25.52KB), 0, 0, 0, 0, 0, 0
  admin, 378318 (369.45KB), 7132760 (6.80MB), 4, 378318, 0, 0, 0, 0
  cygnus, 273066 (266.67KB), 8435707 (8.04MB), 10, 273066, 0, 0, 0, 0
  uma, 317741253 (303.02MB), 2510806419 (2.34GB), 3849, 198600296, 33, 25320050, 3576, 93820907
  marketing, 335793 (327.92KB), 119622482 (114.08MB), 28, 335793, 0, 0, 0, 0
  saras, 0, 33331 (32.55KB), 0, 0, 0, 0, 0, 0
hisdom.org, 1, 250889 (245.01KB), 6075388 (5.79MB), 6, 250889, 0, 0, 0, 0
  anand, 250889 (245.01KB), 6075388 (5.79MB), 6, 250889, 0, 0, 0, 0
enmail.com, 35, 57677463 (55.01MB), 8554409360 (7.97GB), 1141, 46366666, 226, 3477693, 294, 7833104
  infotronics, 0, 27957 (27.30KB), 0, 0, 0, 0, 0, 0
  manjuparkavi.r, 1013101 (989.36KB), 1182145875 (1.10GB), 48, 1013101, 0, 0, 0, 0
  manju, 17335785 (16.53MB), 1182145875 (1.10GB), 117, 15119254, 42, 2216531, 0, 0
  bharathan.s, 443710 (433.31KB), 1051904565 (1003.17MB), 20, 443710, 0, 0, 0, 0
  techops, 3320372 (3.17MB), 780813831 (744.64MB), 118, 3026871, 151, 293501, 0, 0
  accounts, 2058643 (1.96MB), 154033484 (146.90MB), 19, 1113209, 25, 945434, 0, 0
  bilton.prince, 2425020 (2.31MB), 546903616 (521.57MB), 15, 2425020, 0, 0, 0, 0
  ramesh, 451643 (441.06KB), 482829735 (460.46MB), 21, 451643, 0, 0, 0, 0
  googleapps, 48567 (47.43KB), 1819052 (1.73MB), 4, 48567, 0, 0, 0, 0
  kvchari1, 0, 11414996 (10.89MB), 0, 0, 0, 0, 0, 0
  ragavi, 646157 (631.01KB), 45916226 (43.79MB), 126, 646157, 0, 0, 0, 0
  support, 524126 (511.84KB), 780813831 (744.64MB), 12, 524126, 0, 0, 0, 0
  nxg, 23408 (22.86KB), 5504851 (5.25MB), 2, 23408, 0, 0, 0, 0
  webenquiry, 0, 16384 (16.00KB), 0, 0, 0, 0, 0, 0
  venky, 708758 (692.15KB), 1051904565 (1003.17MB), 12, 708758, 0, 0, 0, 0
  dns, 2991973 (2.85MB), 2416192 (2.30MB), 131, 2991973, 0, 0, 0, 0
  test, 18130 (17.71KB), 10609076 (10.12MB), 3, 18130, 0, 0, 0, 0
  karthik.ayyar, 359512 (351.09KB), 99973739 (95.34MB), 17, 359512, 0, 0, 0, 0
  remmoho, 0, 16387 (16.00KB), 0, 0, 0, 0, 0, 0
  technical.contact, 275897 (269.43KB), 6122248 (5.84MB), 15, 275897, 0, 0, 0, 0
  kontact-paypal, 288624 (281.86KB), 0, 31, 288624, 0, 0, 0, 0
  karthik, 9093890 (8.67MB), 99973739 (95.34MB), 105, 9088843, 2, 5047, 0, 0
  administrative.contact, 17862 (17.44KB), 50691 (49.50KB), 4, 17862, 0, 0, 0, 0
  abuse, 0, 3127511 (2.98MB), 0, 0, 0, 0, 0, 0
