domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
edelcap.com, 2145, 79422074427 (73.97GB), 0, 477326, 79422074427, 0, 0, 0, 0
  atul.chavan, 633344 (618.50KB), 0, 41, 633344, 0, 0, 0, 0
  sanjeev.rastogi, 85446321 (81.49MB), 0, 953, 85446321, 0, 0, 0, 0
  lalit.purohit, 707922 (691.33KB), 0, 14, 707922, 0, 0, 0, 0
  anuja.desai, 6015507 (5.74MB), 0, 96, 6015507, 0, 0, 0, 0
  manmeet.sawhney, 2162204 (2.06MB), 0, 56, 2162204, 0, 0, 0, 0
  pmscompliance, 856432 (836.36KB), 0, 43, 856432, 0, 0, 0, 0
  zubin.dedhia, 1443739 (1.38MB), 0, 9, 1443739, 0, 0, 0, 0
  abhishekr.sharma, 1094700 (1.04MB), 0, 74, 1094700, 0, 0, 0, 0
  insurance.brokers, 3475065 (3.31MB), 0, 93, 3475065, 0, 0, 0, 0
  deepti.muddap, 652793 (637.49KB), 0, 38, 652793, 0, 0, 0, 0
  ganesh.more, 19954374 (19.03MB), 0, 111, 19954374, 0, 0, 0, 0
  bhavin.shah, 1000861 (977.40KB), 0, 79, 1000861, 0, 0, 0, 0
  chandramani.waghmare, 3890705 (3.71MB), 0, 270, 3890705, 0, 0, 0, 0
  gouri.puri, 12824143 (12.23MB), 0, 54, 12824143, 0, 0, 0, 0
  nishant.tiwary, 352294788 (335.97MB), 0, 238, 352294788, 0, 0, 0, 0
  yamit.shah, 1462881 (1.40MB), 0, 108, 1462881, 0, 0, 0, 0
  resourcesops, 9240780 (8.81MB), 0, 1580, 9240780, 0, 0, 0, 0
  mn.ramalingaiah, 882764 (862.07KB), 0, 49, 882764, 0, 0, 0, 0
  waisops.support, 916725 (895.24KB), 0, 48, 916725, 0, 0, 0, 0
  chennai, 684758 (668.71KB), 0, 68, 684758, 0, 0, 0, 0
  n.nandhakumar, 1905415 (1.82MB), 0, 57, 1905415, 0, 0, 0, 0
  abhilasha.kadam, 133255 (130.13KB), 0, 7, 133255, 0, 0, 0, 0
  anand.mehta, 783139 (764.78KB), 0, 48, 783139, 0, 0, 0, 0
  vikesh.agarwal, 679854 (663.92KB), 0, 41, 679854, 0, 0, 0, 0
  bhavesh.chauhan, 8132852 (7.76MB), 0, 309, 8132852, 0, 0, 0, 0
  gautam.khanna, 1163821 (1.11MB), 0, 98, 1163821, 0, 0, 0, 0
  cmg, 667875 (652.22KB), 0, 44, 667875, 0, 0, 0, 0
  sandeep.bhandarkar, 833540 (814.00KB), 0, 45, 833540, 0, 0, 0, 0
  disha.mehta, 6743312 (6.43MB), 0, 53, 6743312, 0, 0, 0, 0
  ritesh.jhanwar, 8524583 (8.13MB), 0, 204, 8524583, 0, 0, 0, 0
  madaswamy.perumal, 8288797 (7.90MB), 0, 12, 8288797, 0, 0, 0, 0
  darshna.saraiya, 48430826 (46.19MB), 0, 90, 48430826, 0, 0, 0, 0
  manojc.gandhi, 8440534 (8.05MB), 0, 170, 8440534, 0, 0, 0, 0
  balaji.krishnan, 10312214 (9.83MB), 0, 92, 10312214, 0, 0, 0, 0
  aravind.reddy, 2964502 (2.83MB), 0, 80, 2964502, 0, 0, 0, 0
  varsha.valecha, 39138810 (37.33MB), 0, 194, 39138810, 0, 0, 0, 0
  akash.patel, 48634087 (46.38MB), 0, 623, 48634087, 0, 0, 0, 0
  ebl.bugtracker, 3377110 (3.22MB), 0, 89, 3377110, 0, 0, 0, 0
  jagdeep.kannarath, 3200572 (3.05MB), 0, 149, 3200572, 0, 0, 0, 0
  lakshmikanth.kamath, 212012 (207.04KB), 0, 3, 212012, 0, 0, 0, 0
  dcbbank.qip, 815616 (796.50KB), 0, 45, 815616, 0, 0, 0, 0
  pcg.research, 848807 (828.91KB), 0, 45, 848807, 0, 0, 0, 0
  k.harigopal, 2424394 (2.31MB), 0, 75, 2424394, 0, 0, 0, 0
  bhavesha.patel, 2280854 (2.18MB), 0, 41, 2280854, 0, 0, 0, 0
  navin.sahadeo, 36598726 (34.90MB), 0, 256, 36598726, 0, 0, 0, 0
  veena.dsouza, 76763654 (73.21MB), 0, 474, 76763654, 0, 0, 0, 0
  rashi.bharadwaj, 3125684 (2.98MB), 0, 82, 3125684, 0, 0, 0, 0
  sunil.chauhan, 1701327 (1.62MB), 0, 52, 1701327, 0, 0, 0, 0
  saurabh.jain, 2582428411 (2.41GB), 0, 5151, 2582428411, 0, 0, 0, 0
  jrm.jaipur, 13257 (12.95KB), 0, 23, 13257, 0, 0, 0, 0
  internalaudit.team, 717753 (700.93KB), 0, 41, 717753, 0, 0, 0, 0
  kiran.godambe, 32531821 (31.02MB), 0, 221, 32531821, 0, 0, 0, 0
  dattatray.yadav, 3871589 (3.69MB), 0, 60, 3871589, 0, 0, 0, 0
  pinky.gupta, 4069086 (3.88MB), 0, 97, 4069086, 0, 0, 0, 0
  sib.qip, 5331778 (5.08MB), 0, 153, 5331778, 0, 0, 0, 0
  riteshk.shah, 75300 (73.54KB), 0, 5, 75300, 0, 0, 0, 0
  aazmin.tantra, 4994416 (4.76MB), 0, 143, 4994416, 0, 0, 0, 0
  aman.singhal, 11649834 (11.11MB), 0, 170, 11649834, 0, 0, 0, 0
  sachin.kapoor, 11488676 (10.96MB), 0, 134, 11488676, 0, 0, 0, 0
  pankajk.jain, 6448076 (6.15MB), 0, 64, 6448076, 0, 0, 0, 0
  vijayata.verma, 1314295 (1.25MB), 0, 57, 1314295, 0, 0, 0, 0
