domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
juseffex.com, 29, 2768868109 (2.58GB), 6775794085 (6.31GB), 5556, 769955420, 2130, 590870549, 5425, 1408042140
  juseffex, 0, 20483 (20.00KB), 0, 0, 0, 0, 0, 0
  sales, 10111 (9.87KB), 67690232 (64.55MB), 1, 10111, 0, 0, 0, 0
  sample, 0, 29157 (28.47KB), 0, 0, 0, 0, 0, 0
  planning, 971864761 (926.84MB), 844776651 (805.64MB), 177, 77586446, 60, 67905685, 1779, 826372630
  accounts, 42250920 (40.29MB), 1609393 (1.53MB), 187, 17784656, 80, 6809898, 131, 17656366
  sriram, 590257707 (562.91MB), 718951733 (685.65MB), 572, 209631316, 910, 133929728, 521, 246696663
  vipin.aryat, 587316 (573.55KB), 646682 (631.53KB), 0, 0, 0, 0, 6, 587316
  jay, 484363 (473.01KB), 93991238 (89.64MB), 97, 484363, 0, 0, 0, 0
  production, 59373808 (56.62MB), 42140295 (40.19MB), 28, 8631466, 1, 560, 515, 50741782
  manoj, 6228 (6.08KB), 129936815 (123.92MB), 1, 5688, 1, 540, 0, 0
  saras, 16670785 (15.90MB), 378073866 (360.56MB), 109, 8659766, 27, 8011019, 0, 0
  geetha, 18139040 (17.30MB), 250895152 (239.27MB), 471, 8968573, 1, 544, 471, 9169923
  anil, 9323554 (8.89MB), 177594408 (169.37MB), 39, 3163049, 5, 776099, 138, 5384406
  jagan, 630638376 (601.42MB), 393377 (384.16KB), 392, 174082140, 820, 330816468, 582, 125739768
  mer, 5557954 (5.30MB), 20483 (20.00KB), 47, 2152384, 47, 1464447, 41, 1941123
  ramaswamy, 6311486 (6.02MB), 1635160390 (1.52GB), 577, 6311486, 0, 0, 0, 0
  suresh, 6301 (6.15KB), 16450195 (15.69MB), 2, 6301, 0, 0, 0, 0
  mcr, 16468 (16.08KB), 0, 5, 11876, 1, 2589, 2, 2003
  amutha, 545832 (533.04KB), 87538084 (83.48MB), 7, 545832, 0, 0, 0, 0
  tony1, 39064290 (37.25MB), 1085810082 (1.01GB), 144, 38085641, 28, 978649, 0, 0
  purchase, 80605433 (76.87MB), 8156613 (7.78MB), 732, 46977631, 86, 2700083, 685, 30927719
  cspillai, 139437175 (132.98MB), 17996900 (17.16MB), 219, 64205986, 2, 934844, 262, 74296345
  kannan, 11262876 (10.74MB), 137573934 (131.20MB), 678, 11262876, 0, 0, 0, 0
  balaji, 7348423 (7.01MB), 16578 (16.19KB), 23, 3165884, 23, 760484, 16, 3422055
  annie, 49861266 (47.55MB), 429708676 (409.80MB), 984, 49861266, 0, 0, 0, 0
  sr, 89210901 (85.08MB), 5728518 (5.46MB), 58, 38328492, 37, 35778368, 276, 15104041
  prabhu, 9718 (9.49KB), 530830673 (506.24MB), 2, 9174, 1, 544, 0, 0
  anmurthy, 23017 (22.48KB), 3214222 (3.07MB), 4, 23017, 0, 0, 0, 0
  chandran, 0, 110839255 (105.70MB), 0, 0, 0, 0, 0, 0
lakshmicargo.net, 16, 874716557 (834.19MB), 1006448018 (959.82MB), 881, 191715272, 870, 471528630, 888, 211472655
  ixmbm, 13567386 (12.94MB), 40726588 (38.84MB), 8, 6573259, 10, 4070885, 20, 2923242
  hblbm, 21483569 (20.49MB), 337388292 (321.76MB), 27, 16230877, 48, 5252692, 0, 0
  vlrbm, 633816 (618.96KB), 109038047 (103.99MB), 3, 283006, 5, 350810, 0, 0
  accts, 0, 696384 (680.06KB), 0, 0, 0, 0, 0, 0
  commercial, 61214555 (58.38MB), 24206431 (23.09MB), 52, 8779461, 49, 10931133, 122, 41503961
  cbebm, 64989072 (61.98MB), 491469 (479.95KB), 127, 11157668, 72, 9507844, 131, 44323560
  sales, 538366208 (513.43MB), 15247705 (14.54MB), 115, 113009803, 136, 415736806, 53, 9619599
  vpmbm, 6726018 (6.41MB), 20575 (20.09KB), 25, 2208181, 39, 2377327, 24, 2140510
  slmbm, 5810119 (5.54MB), 153382074 (146.28MB), 17, 2305681, 24, 2785445, 22, 718993
  tnlvbm, 5067341 (4.83MB), 9395277 (8.96MB), 63, 1730506, 82, 2282234, 21, 1054601
  salesaccts, 2537652 (2.42MB), 1345453 (1.28MB), 12, 719569, 9, 22111, 24, 1795972
  maabm, 25544218 (24.36MB), 64505561 (61.52MB), 157, 12471047, 78, 4062029, 88, 9011142
  blrbm, 16446243 (15.68MB), 144103183 (137.43MB), 92, 5605243, 46, 4746615, 85, 6094385
  hydbm, 244607 (238.87KB), 73222480 (69.83MB), 11, 236023, 12, 8584, 0, 0
  operation, 94998572 (90.60MB), 818205 (799.03KB), 40, 4404453, 34, 170415, 274, 90423704
  trzbm, 17087181 (16.30MB), 31860294 (30.38MB), 132, 6000495, 226, 9223700, 24, 1862986
alphaenter.net, 1, 873601366 (833.13MB), 2721881561 (2.53GB), 389, 309634645, 219, 249450004, 788, 314516717
  info, 873601366 (833.13MB), 2721881561 (2.53GB), 389, 309634645, 219, 249450004, 788, 314516717
kllpl.org, 5, 2235122494 (2.08GB), 1403424573 (1.31GB), 1061, 286709483, 2242, 1594642166, 1597, 353770845
  logistics, 97821884 (93.29MB), 1142142256 (1.06GB), 111, 34946119, 17, 4633089, 199, 58242676
  account, 96843938 (92.36MB), 737967 (720.67KB), 59, 26473097, 43, 36136263, 88, 34234578
  sagar, 0, 16384 (16.00KB), 0, 0, 0, 0, 0, 0
  himanshu, 1158001257 (1.08GB), 259891110 (247.85MB), 149, 65953537, 648, 1062284263, 108, 29763457
  jatin, 882455415 (841.58MB), 636856 (621.93KB), 742, 159336730, 1534, 491588551, 1202, 231530134
bullfreight.com, 1, 240454927 (229.32MB), 30136940 (28.74MB), 1565, 123175576, 248, 68225395, 408, 49053956
  venkat-cmd, 240454927 (229.32MB), 30136940 (28.74MB), 1565, 123175576, 248, 68225395, 408, 49053956
kinship-global.com, 1, 119785645 (114.24MB), 1444784 (1.38MB), 930, 59951893, 2, 16509, 907, 59817243
  jatin, 119785645 (114.24MB), 1444784 (1.38MB), 930, 59951893, 2, 16509, 907, 59817243
agrowintl.in, 2, 967455 (944.78KB), 32768 (32.00KB), 13, 482559, 3, 155420, 9, 329476
  info, 967455 (944.78KB), 16384 (16.00KB), 13, 482559, 3, 155420, 9, 329476
  sales, 0, 16384 (16.00KB), 0, 0, 0, 0, 0, 0
pranaav.com, 14, 627558856 (598.49MB), 1104323398 (1.03GB), 7116, 295194449, 75, 63414687, 4057, 268949720
  prabhakar, 38669476 (36.88MB), 88931820 (84.81MB), 3107, 29597783, 5, 5022721, 281, 4048972
  sakthi.priyasarath, 10308232 (9.83MB), 1890236 (1.80MB), 26, 5119269, 0, 0, 26, 5188963
  kumar, 154190935 (147.05MB), 52296292 (49.87MB), 657, 76882223, 0, 0, 639, 77308712
  tamil, 0, 62569993 (59.67MB), 0, 0, 0, 0, 0, 0
  srinivas, 937142 (915.18KB), 45913005 (43.79MB), 52, 795720, 2, 141422, 0, 0
  sales, 31142461 (29.70MB), 315161 (307.77KB), 171, 15455411, 0, 0, 167, 15687050
  srini, 6970973 (6.65MB), 24251279 (23.13MB), 166, 3523917, 0, 0, 158, 3447056
  accounts, 0, 16384 (16.00KB), 0, 0, 0, 0, 0, 0
  web, 0, 16384 (16.00KB), 0, 0, 0, 0, 0, 0
  smahendran, 380701262 (363.07MB), 35992938 (34.33MB), 2827, 159393560, 67, 58248190, 2778, 163059512
  muthu, 423288 (413.37KB), 86194503 (82.20MB), 17, 423288, 0, 0, 0, 0
  priyamahendran, 3784472 (3.61MB), 436992219 (416.75MB), 84, 3784472, 0, 0, 0, 0
  arul, 16614 (16.22KB), 144056456 (137.38MB), 1, 14260, 1, 2354, 0, 0
  manoj, 414001 (404.30KB), 124886728 (119.10MB), 8, 204546, 0, 0, 8, 209455
ptlinfotech.com, 4, 7765362 (7.41MB), 19399668 (18.50MB), 49, 3739815, 2, 411692, 48, 3613855
  accounts, 716524 (699.73KB), 16384 (16.00KB), 1, 355877, 0, 0, 1, 360647
  kumar, 4337083 (4.14MB), 546067 (533.27KB), 21, 2243553, 0, 0, 20, 2093530
  srini, 82234 (80.31KB), 18820711 (17.95MB), 1, 40789, 0, 0, 1, 41445
  smahendran, 2629521 (2.51MB), 16506 (16.12KB), 26, 1099596, 2, 411692, 26, 1118233
bhavantirupati.org, 2, 480731983 (458.46MB), 870571261 (830.24MB), 699, 428585696, 29, 52146287, 0, 0
  kendra, 65394479 (62.37MB), 340423708 (324.65MB), 53, 62498795, 9, 2895684, 0, 0
  principal, 415337504 (396.10MB), 530147553 (505.59MB), 646, 366086901, 20, 49250603, 0, 0
mfapartments.net, 1, 3638632 (3.47MB), 22161298 (21.13MB), 51, 3543305, 18, 95327, 0, 0
  noel, 3638632 (3.47MB), 22161298 (21.13MB), 51, 3543305, 18, 95327, 0, 0
itapagro.com, 30, 17199247598 (16.02GB), 2643942484 (2.46GB), 19943, 2611622874, 18215, 10623555752, 37233, 3964068972
  sundaridevaraj, 0, 16384 (16.00KB), 0, 0, 0, 0, 0, 0
  raja, 2685739215 (2.50GB), 917688921 (875.18MB), 7826, 869438473, 2, 328444, 16892, 1815972298
  sales, 22589 (22.06KB), 696076 (679.76KB), 1, 22589, 0, 0, 0, 0
  sheik, 0, 8215710 (7.84MB), 0, 0, 0, 0, 0, 0
