domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
juseffex.com, 29, 6385847580 (5.95GB), 9132259186 (8.51GB), 16573, 565169502, 945, 515282888, 43737, 5305395190
  sathish, 0, 20483 (20.00KB), 0, 0, 0, 0, 0, 0
  sales, 103139592 (98.36MB), 118200209 (112.72MB), 97, 46097805, 2, 3925718, 244, 53116069
  sample, 0, 29157 (28.47KB), 0, 0, 0, 0, 0, 0
  planning, 135445184 (129.17MB), 410307 (400.69KB), 237, 65158408, 66, 4272919, 225, 66013857
  accounts, 467082009 (445.44MB), 3057998 (2.92MB), 294, 50297888, 132, 373501421, 295, 43282700
  sriram, 250897175 (239.27MB), 73802092 (70.38MB), 272, 57328054, 620, 125414800, 262, 68154321
  vipin.aryat, 19628 (19.17KB), 666396 (650.78KB), 1, 19628, 0, 0, 0, 0
  anmurthy, 579835 (566.25KB), 6463912 (6.16MB), 19, 579835, 0, 0, 0, 0
  jay, 1883010 (1.80MB), 107811324 (102.82MB), 165, 1883010, 0, 0, 0, 0
  production, 3060594 (2.92MB), 91660645 (87.41MB), 76, 3060594, 0, 0, 0, 0
  manoj, 289858 (283.06KB), 131963170 (125.85MB), 3, 289858, 0, 0, 0, 0
  saras, 24765452 (23.62MB), 721587564 (688.16MB), 157, 24728071, 4, 37381, 0, 0
  anil, 1958255 (1.87MB), 195359117 (186.31MB), 18, 1638048, 1, 39551, 14, 280656
  jagan, 3756843 (3.58MB), 129997012 (123.97MB), 78, 3756843, 0, 0, 0, 0
  customercare, 106943454 (101.99MB), 35291392 (33.66MB), 147, 35071688, 95, 4732606, 143, 67139160
  mer, 0, 76535418 (72.99MB), 0, 0, 0, 0, 0, 0
  ramaswamy, 4034541226 (3.76GB), 1801888124 (1.68GB), 220, 4082310, 0, 0, 24511, 4030458916
  suresh, 490243 (478.75KB), 16957932 (16.17MB), 1, 490243, 0, 0, 0, 0
  amutha, 2049099 (1.95MB), 103580112 (98.78MB), 67, 2049099, 0, 0, 0, 0
  tony1, 37292539 (35.56MB), 2057596441 (1.92GB), 275, 34723850, 22, 2568689, 0, 0
  purchase, 119516354 (113.98MB), 381987122 (364.29MB), 10985, 119516354, 0, 0, 0, 0
  cspillai, 145355490 (138.62MB), 17835487 (17.01MB), 172, 63887087, 2, 789256, 248, 80679147
  kannan, 9188564 (8.76MB), 706835005 (674.09MB), 783, 9188017, 1, 547, 0, 0
  balaji, 100890 (98.53KB), 0, 1, 100890, 0, 0, 0, 0
  annie, 31110160 (29.67MB), 1336934183 (1.25GB), 1925, 31110160, 0, 0, 0, 0
  sr, 20456337 (19.51MB), 20207231 (19.27MB), 3, 73610, 0, 0, 126, 20382727
  prabhu, 545260247 (520.00MB), 537605791 (512.70MB), 8, 875054, 0, 0, 2545, 544385193
  geetha, 340644141 (324.86MB), 328681606 (313.46MB), 568, 9141697, 0, 0, 15124, 331502444
  chandran, 21401 (20.90KB), 129293956 (123.30MB), 1, 21401, 0, 0, 0, 0
lakshmicargo.net, 17, 2855185410 (2.66GB), 893005009 (851.64MB), 2610, 563189961, 2741, 1431803202, 3980, 860192247
  cbebm, 205261993 (195.75MB), 7423799 (7.08MB), 523, 95006237, 442, 22002296, 405, 88253460
  hblbm, 1258734350 (1.17GB), 399434912 (380.93MB), 79, 57857294, 189, 1174458692, 80, 26418364
  vlrbm, 355923130 (339.43MB), 52711588 (50.27MB), 43, 169743913, 31, 100884786, 61, 85294431
  vjdbm, 24239889 (23.12MB), 1263887 (1.21MB), 126, 10536163, 169, 5005426, 44, 8698300
  commercial, 81760160 (77.97MB), 2166300 (2.07MB), 358, 20620423, 390, 10378369, 391, 50761368
  ixmbm, 14700879 (14.02MB), 51947858 (49.54MB), 63, 4173444, 96, 5086700, 151, 5440735
  sales, 32558217 (31.05MB), 16643208 (15.87MB), 89, 8560922, 43, 11067745, 242, 12929550
  vpmbm, 19716018 (18.80MB), 4313354 (4.11MB), 62, 8264670, 82, 5465878, 52, 5985470
  stationaccts, 22695005 (21.64MB), 1543676 (1.47MB), 58, 4437283, 54, 13416950, 51, 4840772
  slmbm, 87562496 (83.51MB), 64934154 (61.93MB), 209, 40938126, 290, 16871324, 125, 29753046
  tnlvbm, 11765437 (11.22MB), 9395277 (8.96MB), 140, 3893599, 177, 5187518, 60, 2684320
  salesaccts, 39905158 (38.06MB), 967603 (944.92KB), 19, 2299875, 15, 2075125, 51, 35530158
  maabm, 355368729 (338.91MB), 62727784 (59.82MB), 412, 61909257, 398, 22059096, 903, 271400376
  blrbm, 21236523 (20.25MB), 149743705 (142.81MB), 170, 9481305, 30, 1102467, 195, 10652751
  hydbm, 60749662 (57.94MB), 15232753 (14.53MB), 34, 690730, 61, 503844, 498, 59555088
  operation, 229305944 (218.68MB), 6355616 (6.06MB), 66, 52483746, 50, 20888878, 565, 155933320
  trzbm, 33701820 (32.14MB), 46199535 (44.06MB), 159, 12292974, 224, 15348108, 106, 6060738
alphaenter.net, 1, 290482707 (277.03MB), 2074430413 (1.93GB), 372, 242799524, 157, 16959532, 414, 30723651
  info, 290482707 (277.03MB), 2074430413 (1.93GB), 372, 242799524, 157, 16959532, 414, 30723651
bhumisagarexpo.com, 2, 232933476 (222.14MB), 1564368 (1.49MB), 137, 84211331, 218, 59419951, 142, 89302194
  jagruti, 30675898 (29.25MB), 1547984 (1.48MB), 15, 8657629, 2, 39837, 38, 21978432
  jatin, 202257578 (192.89MB), 16384 (16.00KB), 122, 75553702, 216, 59380114, 104, 67323762
bullfreight.com, 1, 549090309 (523.65MB), 55978672 (53.39MB), 2134, 205496715, 352, 241860091, 556, 101733503
  venkat-cmd, 549090309 (523.65MB), 55978672 (53.39MB), 2134, 205496715, 352, 241860091, 556, 101733503
kinship-global.com, 1, 160925534 (153.47MB), 134517 (131.36KB), 1072, 77340543, 14, 982489, 1074, 82602502
  jatin, 160925534 (153.47MB), 134517 (131.36KB), 1072, 77340543, 14, 982489, 1074, 82602502
agrowintl.in, 2, 952772 (930.44KB), 1681567 (1.60MB), 20, 952772, 0, 0, 0, 0
  info, 718087 (701.26KB), 0, 8, 718087, 0, 0, 0, 0
  sales, 234685 (229.18KB), 1681567 (1.60MB), 12, 234685, 0, 0, 0, 0
pranaav.com, 10, 566025937 (539.80MB), 171835421 (163.88MB), 4243, 278482634, 48, 32131735, 2927, 255411568
  prabhakar, 16667188 (15.90MB), 84542006 (80.63MB), 800, 13336671, 1, 687526, 14, 2642991
  sakthi.priyasarath, 29191874 (27.84MB), 3979008 (3.79MB), 65, 15554496, 0, 0, 41, 13637378
  kumar, 72523093 (69.16MB), 19402044 (18.50MB), 608, 45600133, 0, 0, 465, 26922960
  support, 0, 3961716 (3.78MB), 0, 0, 0, 0, 0, 0
  sales, 79402265 (75.72MB), 3334366 (3.18MB), 227, 40992375, 1, 2633, 166, 38407257
  srini, 644273 (629.17KB), 24249841 (23.13MB), 46, 402580, 0, 0, 31, 241693
  web, 0, 16384 (16.00KB), 0, 0, 0, 0, 0, 0
  projects, 34593343 (32.99MB), 13019673 (12.42MB), 29, 2514840, 12, 26643280, 38, 5435223
  smahendran, 331635491 (316.27MB), 18978213 (18.10MB), 2435, 159283033, 34, 4798296, 2149, 167554162
  manoj, 1368410 (1.31MB), 352170 (343.92KB), 33, 798506, 0, 0, 23, 569904
ptlinfotech.com, 4, 47542962 (45.34MB), 20026127 (19.10MB), 1045, 13824187, 24056, 20928838, 965, 12789937
  kumar, 1711987 (1.63MB), 420435 (410.58KB), 18, 876224, 0, 0, 15, 835763
  smahendran, 44842829 (42.77MB), 594625 (580.69KB), 1017, 12372035, 24056, 20928838, 943, 11541956
  accounts, 906884 (885.63KB), 173119 (169.06KB), 7, 527148, 0, 0, 5, 379736
