domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
seahorseindia.co.in, 1, 33766046 (32.20MB), 581357535 (554.43MB), 228, 11085919, 100, 12058645, 216, 10621482
  sipl, 33766046 (32.20MB), 581357535 (554.43MB), 228, 11085919, 100, 12058645, 216, 10621482
rosaonline.org, 15, 7967062282 (7.42GB), 764352753 (728.94MB), 2916, 1558806383, 5685, 62395623, 10988, 6345860276
  directory2015, 129719 (126.68KB), 23050 (22.51KB), 2, 64250, 0, 0, 2, 65469
  valli, 44415434 (42.36MB), 1039542 (1015.18KB), 68, 1789352, 2, 18232, 114, 42607850
  vino, 93852851 (89.51MB), 22709 (22.18KB), 20, 1578101, 2, 22838, 83, 92251912
  directory2014, 135612 (132.43KB), 13802877 (13.16MB), 5, 135612, 0, 0, 0, 0
  admin, 0, 26589 (25.97KB), 0, 0, 0, 0, 0, 0
  kalps, 21881042 (20.87MB), 16566 (16.18KB), 34, 818093, 0, 0, 91, 21062949
  pathy, 2278475 (2.17MB), 16496 (16.11KB), 1, 5587, 0, 0, 38, 2272888
  viji, 9915209 (9.46MB), 17203 (16.80KB), 14, 284813, 0, 0, 29, 9630396
  subscriptions, 136312 (133.12KB), 157232 (153.55KB), 11, 72509, 8, 36750, 5, 27053
  rotarynews, 7759261876 (7.23GB), 612232833 (583.87MB), 2744, 1552934503, 5673, 62317803, 10500, 6144009570
  rasheedabhagat, 647004 (631.84KB), 136900230 (130.56MB), 6, 647004, 0, 0, 0, 0
  senthil, 469702 (458.69KB), 23209 (22.67KB), 1, 5587, 0, 0, 16, 464115
  sasi, 33939046 (32.37MB), 41349 (40.38KB), 10, 470972, 0, 0, 110, 33468074
  nonreceipt, 0, 16387 (16.00KB), 0, 0, 0, 0, 0, 0
  circulation, 0, 16481 (16.09KB), 0, 0, 0, 0, 0, 0
infobasesystemms.com, 4, 3632961453 (3.38GB), 4050694546 (3.77GB), 1528, 521211121, 2041, 609578638, 9358, 2502171694
  support, 0, 31827550 (30.35MB), 0, 0, 0, 0, 0, 0
