domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
juseffex.com, 31, 1535810077 (1.43GB), 8503055798 (7.92GB), 17454, 668539988, 207676, 535259921, 1566, 332010168
  info, 0, 16384 (16.00KB), 0, 0, 0, 0, 0, 0
  sathish, 0, 20483 (20.00KB), 0, 0, 0, 0, 0, 0
  juseffex, 0, 20483 (20.00KB), 0, 0, 0, 0, 0, 0
  sales, 18748691 (17.88MB), 99550324 (94.94MB), 42, 1775176, 7, 82952, 58, 16890563
  sample, 0, 29157 (28.47KB), 0, 0, 0, 0, 0, 0
  planning, 193946114 (184.96MB), 4649012 (4.43MB), 277, 66988295, 59, 37480931, 297, 89476888
  accounts, 184990632 (176.42MB), 3056231 (2.91MB), 206, 50461014, 90, 38394730, 200, 96134888
  sriram, 63002575 (60.08MB), 240783220 (229.63MB), 118, 18354429, 112, 7847012, 211, 36801134
  vipin.aryat, 0, 646682 (631.53KB), 0, 0, 0, 0, 0, 0
  anmurthy, 19316 (18.86KB), 5877016 (5.60MB), 4, 19316, 0, 0, 0, 0
  jay, 2714956 (2.59MB), 101881297 (97.16MB), 279, 2714956, 0, 0, 0, 0
  production, 275055 (268.61KB), 82458024 (78.64MB), 14, 275055, 0, 0, 0, 0
  manoj, 7820 (7.64KB), 131654188 (125.56MB), 1, 7820, 0, 0, 0, 0
  saras, 12877223 (12.28MB), 692893705 (660.79MB), 100, 12396388, 6, 480835, 0, 0
  anil, 17346882 (16.54MB), 189250426 (180.48MB), 44, 11627902, 4, 192716, 132, 5526264
  jagan, 13929284 (13.28MB), 106052346 (101.14MB), 50, 3508171, 8, 13392, 98, 10407721
  customercare, 289930745 (276.50MB), 276904 (270.41KB), 120, 98508410, 89, 159681302, 118, 31741033
  mer, 118159735 (112.69MB), 75321586 (71.83MB), 18, 21059386, 24, 97100349, 0, 0
  ramaswamy, 7418368 (7.07MB), 1860705600 (1.73GB), 454, 7418368, 0, 0, 0, 0
  suresh, 0, 16463121 (15.70MB), 0, 0, 0, 0, 0, 0
